Ref AMM,Detection Rule,Contract Address,Contract Name,Transactions,Transactions (More),Price-related Function,Price Oracle Contract Address,Price Oracle Contract Name,Line,Vulnerable (TP),Short Reason,Comments,Currently Vulnerable,Disclosure Progress
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state,,Y,Contacting admin
Curve,RT,0x20b1ddf9fa25d713060c5510d10cb081ed3f1409,Proxy -> InstaAccount,0x17ef2d072beff438628bffa4a26c35a803e4ff6e2e8b6e66fc38872f9a5d0aed,0x3c5011349cddc38fd6162e6af4545be004fa53d82c4d5bce8fae418dcc764082,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,307,N,Direct operation on AMM (remove liquidity),"Though calc_token_amount is used, it does not affect transferred amounts.",N,N/A
Curve,RT,0xc391d1b08c1403313b0c28d47202dfda015633c4,VaultProxy -> Vault (frenBTC),0x194316c89b8b4713572446bcf9d4f46884ea6fffa615aec52c921af93924dc98,0x557fee76082c37aa17d544d94887e2433af4b7c7cd4ff62a116692d481244dc2,calc_withdraw_one_coin,0xd2429c20af3eb06b15c08b5290f4971b9fac20b1,CRVStrategyRENBTCMainnet,1295,Y,Invested underlying balance depends on Curve pool state,This vault is now invulnerable since the strategy has changed.,N,N/A
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state ,,Y,Contacting admin
Curve,RT,0xab7fa2b2985bccfc13c6d86b1d5a17486ab1e04c,VaultProxy -> Vault (fDAI),0x2aedd1ad8bfaf194ef8bb61f1153332702c6fee9296296c5617c525614a98766,,calc_withdraw_one_coin,0x484695155bcfb9fe647d6dd59020dc7a795195da,N/A,N/A,Y,Invested underlying balance depends on Curve pool state,Price oracle is closed source. This vault is now invulnerable since the strategy has changed.,N,N/A
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state ,,Y,Contacting admin
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Withdrawal amount depends on Curve pool state,,Y,Contacting admin
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state ,,Y,Contacting admin
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state ,,Y,Contacting admin
Curve,RT,0xf8ce90c2710713552fb564869694b2505bfc0846,DepositHelper,0x419d209ae4f355c9e545a9a0dcdd01e7983620c78c36ba498862d601b0466738,0xbb213c46821e781801db81b5cc97f8a23de456c23912ca14a2108508b3ad2f43,calc_withdraw_one_coin,0x194d6ec937701257ca7e387ba99e952b48469a55,N/A,N/A,Y,Invested underlying balance depends on Curve pool state,Price oracle is closed source. This vault is now invulnerable since the strategy has changed.,N,N/A
Curve,RT,,,,,calc_withdraw_one_coin,,,,Y,Self balance depends on Curve pool state ,,Y,Contacting admin
Curve,RT,0xc07eb91961662d275e2d285bdc21885a4db136b0,Vault (fWBTC),0x42f23814ddf1e0299b793c49c4e0e6d95ad2fad62fd6fefb29bb0cdbe2ec2be8,0x624bfbee1ce743dc0856a70dd8e593bcf087c56309dde228ab54ef153cb02c99,calc_withdraw_one_coin,0xe7048e7186cb6f12c566a6c8a818d9d41da6df19,CRVStrategyWBTCMainnet,1297,Y,Invested underlying balance depends on Curve pool state,,N,N/A
Curve,RT,0x8764f2c305b79680cfcc3398a96aedea9260f7ff,ValueMultiVaultBank,0x449c1669f0ec2fac561e8139efe1a2fe83ade9bc1faff6e4f0f2e97a3abba0ce,,"calc_withdraw_one_coin,
calc_token_amount",0x57cda125d0c7b146a8320614ccd6c55999d15bf2,ShareConverter,1018,Y,Self balance depends on Curve pool state ,"See the convert_shares_rate function. Same as the Value DeFi attack.
This vault is now invulnerable since the strategy has changed.",N,N/A
